address,block,reserve0,reserve1
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99a92f,fd1d29,1329be7b2f826e6
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99ace9,dff77e,15aa19deebeef60
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99ace9,fd1d29,187bdf93b6ea89b
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ad30,d44903c745f1e5ce4,115e84bf186b4c9a
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ad30,dcec38370b09cc1f7,121370906fed16e4
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ae25,dcd6adf20308b22ff,12153545d204bff1
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99ae25,dcec38370b09cc1f7,1216f8cbadfb2f06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99aff8,dcc0feb3f89c211a2,121a864a52c1af06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b15a,10498d2465b4572690,f57bf1a8d7dd050
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b15a,1337d7496cecd211a2,121a864a52c1af06
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b165,1049929a912e711cea,f57c43fa371b976
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b165,1337d7496cecd211a2,d024fce6ba10e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b16d,11737e87e4a4d1d6e8,e5487b3b23f0e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b16d,ffb6b61a396ceb517,fa6bf98f8dd0e22
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b171,ffb6605ad125f61ef,fa6ba5966d1c025
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b171,ffb6b61a396ceb517,fa6b51dde62fced
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b1af,6baf23,39a63eef8abdff5
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b1af,fd1d29,87819530f20a89b
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b1e7,f4e3a46001b0b029d,105857da0d27fced
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b1f8,5758612,189a4fb0967a32c
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b206,485facf,1db51fb745a77c0
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b209,3ed644f,223ad2cade43105
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b20e,36e3ec5,273343f59900399
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b232,25cf08b,38f6bd2d7980399
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b23f,ec36149f06da3b3b2,10f287ebfc687ced
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99b24d,2b87e0b,317edc05082c06e
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b24d,e5e5fa74d30bf490f,116a05fe837dc018
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b32b,ab916e3c6c4b9b448,175a3caec22428d2
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b32b,e5e5fa74d30bf490f,1f4abcb22ae1c017
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b32b,12694a9d9cca8c090f,186fe7e02a086930
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b330,dbd6d03c0e60c64b5,123ca51dd1f3a17d
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b330,12694a9d9cca8c090f,d9ec2db06fe7c91
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b332,dbd21532a84efcc7d,1244298ab8f4f591
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b646,a5c4e41a42a6a0267,183d7bdd9c64f607
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b646,dbd21532a84efcc7d,2024e03e6058f58e
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b647,1244e941289cdd8c7d,1830e2adea5937a1
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b786,121d3ca8e37fd678dc,1866074f24edd4a2
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b786,1244e941289cdd8c7d,189b7785399c37a0
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b7a4,11c68ae6daa3b04edb,194aedf0dcff27da
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b7a4,1244e941289cdd8c7d,19febcfd9726379f
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b9d8,121efc1bd59820f18f,1a354ee8e4939d82
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99b9d8,1244e941289cdd8c7d,1a6c292196522a35
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99bb10,1299db2,7407ee4119713a0
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99bb10,2b87e0b,10f8a46b5f1f34be
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99bb11,648a8aa,75c481f07ecc137
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99c5dc,136913188d512d2c7d,18df936d7ef0a764
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99cb84,64dca7c,7564ead23a98838
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99cb84,13646e40e119c3a524,18e58cdf6333e063
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99ce75,1a05c8842f8380d6b,1c9bf97
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99d028,13ef3563e5a3aba524,1997b824c04b3c08
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99d08c,18e518ace9a5e02e6,1b5e978
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99d319,d598fdf54b09eda5c,ead45d7
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99dd71,13470b4d15edba8eeb,1a77a50577addd18
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99e22c,143d699efb5b7d7eeb,193664bd4c956e21
07f068ca326a469fc1d87d85d448990c8cba7df9,99e68d,4687007f01af340000,5f4b5a7
